,2020-05-26
173,秀丽之山河：好多人对图书行业并不了解，它承载着文化的传播发展，并不是简单的商品，可以百度一下：国外图书定价制度及启示 2019年03月18日 10:34    来源：中国新闻出版广电报    陈凤兰
174,秀丽之山河：这其实是个好提议，很多人不明白，觉得图书便宜了就是好事情，其实一开始损害的是实体书店的利益，然后是出版社，电商会给出版社极低的利润空间，然后出版社出书就会不积极，最后损害的还是读者的利益，损害的是整个文化的发展；反观其他很多国家都有对图书折扣的限制法律。
175,山谷无尘埃：这个期间跟农历的七月十五一样一样的，什么妖魔鬼怪都出来了。
176,田俊君2020：脑子是个好东西
177,走向未来的小先生：这很霸气
178,山居笔记lou：说的事到是那个事，但办法不是那个办法。。。。
179,十年的牛仔：取消互联网，手机，电脑，电视，广播这些产品，才能从根本上解决问题。
180,苏州天辰咖啡哥：官商朝拜的两会，跟们屁民没关系
181,凝望天空k：这是在要书店的命吧？
182,顶天哥：那样的话只能催生盗版横行的情况，因为大家觉得正版书不打折太贵，盗版的非法行为可能会更加猖獗
183,Daniel_大侠：书写得烂没人买，不打折砸手里？书商也要生存。再说了，打折我都不买，不打折，更没人买了
184,80后的夏叔：都提些什么乱七八糟的提议
185,上了山人：那个小魏啊，我觉得你提案加强版权保护和放宽图书内容审查更有利于出版业，也更可行。当然，第二个你是不敢提的。
186,dw-超龄愤青：这样的提案还提个jm啊，所有东西都限制打折得了，国家定价，再以后按家按人头配比，发粮票发油票，没有提案就别提，去了举举手就行了
187,某王某某某：某些政协委员你们自己觉得尬不尬
188,熊色：在下主要看电子书，如何破。
189,莫不為更：这届提议可以出本书
190,熊色：
191,爱他么叫啥叫啥：，
192,活跃的小兔空间：打折都没人买呢，不打折更没人买。
193,大程csch：这种纱笔能生花
194,葛哈尼先生：其实是纸媒向屏幕媒体的转变，不可逆
195,慧的哆啦梦：这个是来搞笑的吧，适者生存优胜劣汰
196,asanwind：
197,我就是搞不懂abc：他有病吧，市场自发行为不懂？
198,村二y程近任：你的吃相太难看了。
199,兰香999_297：提一些不痛不痒，无关紧要的问题，不会犯错的。
200,快乐莉莲1962：市场经济市场订价
201,北京沙黎明：其他商品是不是也这样啊，专家应当先研究价格差距在哪里，再提出有针对性的政策。
202,王董好：名额给你们真是太沙雕了
203,伫看风行2017：木强则折
204,奋斗的王一龙：这都是啥意见啊
205,舞林萌主李小兔：限制图书打折？这个提议的人怕不是喝醉了吧！令人发笑
206,晨雾里的草：这些人根本不知道电商图书打折对爱书人来说是多大的福利，知识以更大范围的受众在扩大传播，明显双赢的事！而且图书的定价比前几年是贵了不少，100块钱也最多买三本书而已，厚一点的都要50以上，不打折行吗？！
207,蓝色天空1208：他是卖图书的吧
208,hensun：在市场规律面前你竞争不过别人，就要立法保护你，怎么就不想办法自救呢，农民都开始做电商了。这种委员只考虑自身利益
209,G-Seven56：现在是市场经济时代，魏忠贤
210,会飞的GPA：建议立法限制“秀智商”提案，违者枪决
